,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K
0,0,0.0026072847917411,5.100360562386274,0.2045354896697744,0.2441003325106378,-0.0452197952400576,1.972463347372428,30,800,5
1,1,-0.0914440659313161,6.854901585327224,0.1288225830957605,0.2586140679693643,-0.0133552983050544,2.1066615182627904,30,800,5
2,2,0.02242032161704,5.143035792309758,0.6995859994678009,0.2472770866259191,0.0040336682248838,1.8453438254495635,30,800,5
3,3,-0.1003904483953586,5.618528595628604,0.1169896661672416,0.2721480870543243,-0.0441629051906734,1.8248547571430391,30,800,5
4,4,0.0081532153981511,5.612240742446253,0.2033071848257552,0.2789013071246455,0.0148300025255083,1.9582961445065197,30,800,5
5,5,-0.0305094349848539,5.648654686563308,-0.1704134504812486,0.2846464461127594,-0.076675489266885,1.9127149091713265,30,800,5
6,6,-0.0712754183070829,5.608084131555323,-0.5767543678210951,0.257622062260484,-0.0230173043685011,2.053168131958458,30,800,5
7,7,-0.0424703701237827,5.459597703860383,-0.1291811957455122,0.3209356413326906,-0.0072632359756162,1.999364841616159,30,800,5
8,8,-0.0313854827569999,3.901667736327296,0.0993979153762278,0.2990489249316195,-0.0558617249480277,2.0232505084458725,30,800,5
9,9,0.0331747946685,6.264356158188067,0.2971317869404197,0.2456893442440842,-0.0414369801519605,1.9674650463102183,30,800,5
10,10,-0.0444521758286081,5.293699380418744,-0.4197765526675252,0.2473235578499838,-0.0448497302839495,1.9490360786185263,30,800,5
11,11,0.2222575830838897,5.757246008074204,-0.0907626581344711,0.2682901002172789,0.1084507467577259,2.0012421728212444,30,800,5
12,12,-0.0034240438796953,6.824635309677304,0.1520415467421454,0.2732342597582063,-0.0585074049637839,1.954951256271079,30,800,5
13,13,0.0560078420328015,6.485197842161935,-0.0156722140638052,0.267818719595401,0.0053599045064129,1.9904381520400067,30,800,5
14,14,-0.0708347477195468,6.003974660788299,-0.2675625927827001,0.2687848615525665,-0.0432896547855867,1.92259396087719,30,800,5
15,15,0.0524841816640588,6.727504989859998,0.1657314235381748,0.2383599267365722,-0.0144006244589514,2.0621370222135926,30,800,5
16,16,0.0017421073110528,5.453196501424714,0.4835218643194481,0.2664133934516491,0.0157494064991287,1.95638572625914,30,800,5
17,17,0.0862820623556595,5.880364895417191,0.0936031527997389,0.2639360711458556,0.0522402931646588,1.802477208348688,30,800,5
18,18,0.0524419450811662,5.897700945405965,0.125062902360785,0.3073840239583578,-0.0450466977161845,1.972790884689557,30,800,5
19,19,-0.0703998536106333,5.035941201865846,0.0249588818019503,0.2853487469885298,-0.0201200557808918,1.7636026324983227,30,800,5
20,20,-0.0243550059418346,4.940746459893332,0.0569797459217129,0.2704671905556932,0.0124250801411623,1.8322238468295091,30,800,5
21,21,0.0841948507217296,6.67946339977685,-0.2640364902568253,0.2791647507835556,0.0093413039186622,2.066713719051401,30,800,5
22,22,0.0509927760947662,4.985218371221481,-0.1284818409356889,0.2670760758821996,0.0455672308323744,1.959899637504896,30,800,5
23,23,0.0457494508930657,6.390630194336407,0.3078068295446474,0.2630613084372073,0.0245165147420107,2.015809683860309,30,800,5
24,24,-0.1143683208264121,4.996279479692791,-0.031324863654758,0.2940540443479783,-0.0973806217651271,1.993535349122848,30,800,5
25,25,0.0892091707018637,5.3516476428945445,-0.3181540405205902,0.2648705151480165,0.0035994398105785,1.9057685499853243,30,800,5
26,26,-0.1484976428475815,6.728094542623882,-0.065202104994932,0.266393137988967,-0.0627198600278016,2.088607482084578,30,800,5
27,27,-0.0496806217729386,5.629958558992391,-0.0942821605801906,0.359228657679778,-0.018965359766358,2.05438092197708,30,800,5
28,28,0.1772552981274182,5.150520053440021,0.2190452905856066,0.2240613438293661,0.0598053875915648,1.8071871028743276,30,800,5
29,29,0.0866417205338126,5.435358785696391,-0.2098085193756178,0.264389481950435,0.0400056639524103,2.042950306169917,30,800,5
30,30,-0.0260696371282937,5.755571367646184,0.3506614985707204,0.2516716080990918,-0.0061630340203014,2.0367313376756724,30,800,5
31,31,-0.0054787104795022,5.141060294712951,-0.2591288588424705,0.2795793004019645,0.0754155704813063,2.164798730637002,30,800,5
32,32,0.0088859575913124,4.854570385801894,0.352568042519561,0.3320819591654436,-0.0035675878996296,2.064973142581403,30,800,5
33,33,0.0439774117806534,4.603537698089993,0.3481640646376576,0.2361802519578248,0.0063023489126398,2.0683969929038635,30,800,5
34,34,0.0327060933685226,5.276915927489472,0.1960760806425305,0.2670170317561626,0.0983453733867383,1.943474142371887,30,800,5
35,35,-0.0284060817137741,5.317761763801361,-0.0263318390044249,0.268782913039431,-0.0211705715526229,1.9195391586472124,30,800,5
36,36,-0.0513749236794549,5.745059738142274,0.0634472405640931,0.2656157805904806,-0.0238544213889015,1.978318118499054,30,800,5
37,37,0.0401428520564315,4.785139501627359,0.2019032101941311,0.3431528686125885,-0.0707323145348043,1.7891209251353395,30,800,5
38,38,-0.1018519296252801,5.379798482670142,0.081935114387905,0.2701423919526639,-0.0033958432486526,2.223569044478122,30,800,5
39,39,-0.1402865839445735,6.122747897680035,-0.5190103588864825,0.2869566489756021,-0.0375075083621805,2.167929627795418,30,800,5
40,40,-0.1261483084183903,5.600401254898665,0.0338614496517459,0.2653374650124753,-0.0707547877812363,2.08316053693048,30,800,5
41,41,-0.0362611531248021,5.399115520424773,-0.0924843530611134,0.2907951036777388,-0.0086196135619525,2.08979635744285,30,800,5
42,42,-0.0655955357965266,6.198718496164943,-0.1288006921694426,0.3203072668664152,-0.0479963849166445,1.965976267760957,30,800,5
43,43,0.019541518798022,5.586572993537466,-0.367372607113023,0.2851345325411846,-0.0743573802315797,1.7307137212660182,30,800,5
44,44,-0.0017885829486792,6.087285477433169,0.4426307935148159,0.2622183665424762,0.0798369807110964,1.9796661237762632,30,800,5
45,45,0.0035157126694803,4.800999644920744,-0.2694403958718236,0.2554559570979585,0.0032215598706986,1.790365214599017,30,800,5
46,46,0.0014005443233814,5.435727815595986,0.4143868765651888,0.3186726424724941,-0.0807548450536651,2.1547035611297978,30,800,5
47,47,-0.1198211728360944,5.1060493902763655,-0.3727393316327774,0.2598868641770854,-0.0532532143311755,2.001860469455742,30,800,5
48,48,-0.0245629297541413,4.560767942084609,0.228050146625601,0.3154290309951112,-0.0698689743893936,1.911996799815296,30,800,5
49,49,-0.0118897851888388,7.175530663787948,-0.5256078065841057,0.2599399485768327,0.0362230829272283,1.972966960402462,30,800,5
50,50,-0.0380035469500461,5.4703479721122505,-0.1767927172212191,0.2580587722279305,0.0233609308014475,2.1302688288914755,30,800,5
51,51,0.0236347385708277,4.849829147604507,-0.4191024251789281,0.2714994569385265,0.0509217242528721,1.9947514905617405,30,800,5
52,52,-0.0417563343165115,5.286828440570372,-0.0128994027179958,0.275430344362327,-0.0282800737853098,2.0541174173742225,30,800,5
53,53,-0.0468965891453091,6.293353663940707,-0.1729765960423703,0.2484602143497624,0.0467884891465494,2.232151867375171,30,800,5
54,54,-0.1180165565045055,4.69486464593082,0.4648203545820033,0.2933954995194309,-0.0410236659706794,1.9826512262153837,30,800,5
55,55,-0.0995466568958043,4.71480719469382,-0.0507879639358517,0.2662376220670781,-0.0298626784163365,1.9987690940144047,30,800,5
56,56,-0.1123491683323281,5.6864571159315895,0.0735488095246532,0.2574189492861802,-0.1089831616828582,2.0556854228326933,30,800,5
57,57,0.0045653774485133,5.703515731372113,-0.1150115119266441,0.2572173979160758,-0.0285737819216329,1.9762581950268032,30,800,5
58,58,-0.0032267130656479,4.574003228451229,-0.3553248650660627,0.2583236522822721,0.0621828215329155,2.0025902959129507,30,800,5
59,59,-6.627635793531965e-05,5.2707828058732815,-0.1593652584366021,0.2618690061674748,0.0010866391737563,2.0687318269510064,30,800,5
60,60,-0.0108204198498417,5.95017351607066,-0.0911990139747018,0.2817406493612285,-0.0592845599742636,2.0885984769786057,30,800,5
61,61,0.1201446740161239,6.323085185511171,-0.0564513357867282,0.2314564421156961,0.0840200848775784,1.8660407727907016,30,800,5
62,62,0.0769609707788359,5.594007013278251,0.373630649309999,0.288768171343866,0.0888000792171438,2.0219294749702894,30,800,5
63,63,0.0506325208027615,6.062505151358328,-0.0811991985173943,0.3825306124178522,0.0115247726508584,2.1429384716227333,30,800,5
64,64,-0.0419724463393826,4.37334031134247,-0.3136386539142046,0.2804492479352247,-0.007658706835541,1.8617392937214428,30,800,5
65,65,0.0769027496535244,5.52673970478038,0.1617415406378768,0.2735291194773101,0.0146894644005388,1.989926855352542,30,800,5
66,66,-0.0697167568975477,6.871983111538097,-0.2700772964356153,0.3104116603242529,0.0015219984663097,1.9438602479882203,30,800,5
67,67,0.0044519600206574,5.257331623975472,0.4210096282320474,0.2447245016228435,0.0205933476321276,1.9587461790274607,30,800,5
68,68,-0.0865454949616343,6.088304693487371,0.4536110250933411,0.2323880195236464,-0.0261144179133799,1.9849608113114696,30,800,5
69,69,-0.0518768820586274,4.567770883584297,0.301695180729471,0.2541244387614027,-0.0358539527089949,1.9948924376938464,30,800,5
70,70,-0.0167126604328126,5.187640278419695,0.2321123197440391,0.2804752434599924,-0.0124872172171562,2.022742546666463,30,800,5
71,71,-0.0525769437909556,5.8132588114564925,-0.1415103494844651,0.3044311936473944,0.0169378725629301,2.116921595882024,30,800,5
72,72,-0.0047197774173435,6.100687320973745,-0.1116632083349982,0.2889480653309855,0.0166309047668884,2.1267541348468395,30,800,5
73,73,0.0364345016180479,6.065919894258454,-0.4070661382403728,0.2662499983224468,-0.0347978353374382,2.0714009980650605,30,800,5
74,74,-0.0073941284192313,6.071948252999196,0.395174316109415,0.3131695652567284,-0.0752704955492085,1.8241444556582351,30,800,5
75,75,0.02993891055628,6.348394445431565,-0.4665811758638885,0.3730682928325411,0.0223255941380092,1.994110023694634,30,800,5
76,76,0.0039878334124507,4.669434059883455,0.1993937470640387,0.2615584992414483,0.011806427342358,1.9850524791438584,30,800,5
77,77,0.0683660980399718,6.5210914536901,0.3811085213747214,0.2815696685589844,-0.0440338316805393,1.8019459054170357,30,800,5
78,78,0.1079054298567471,5.616003053277339,-0.0328474487280914,0.2530724653677812,0.0597954172187633,1.9866411699842157,30,800,5
79,79,0.0151736203412781,7.166225317944097,-0.4169018881919015,0.2469792981728073,0.0248845991194377,1.8522153971266964,30,800,5
80,80,0.2271304938419461,5.11175841239224,0.2879843164939633,0.2528747147625204,0.0646386477291205,2.145711659145371,30,800,5
81,81,0.059211287199041,5.482266396324086,0.2438379332535207,0.2872968952070235,0.0280052857152027,1.9961870456213715,30,800,5
82,82,0.0231082894749013,6.159239509461639,-0.5034586964887544,0.2571627493375792,0.0312502954459982,1.9202176763453955,30,800,5
83,83,0.2403999882346567,6.007839853494192,-0.3321102330881245,0.2527865553083515,0.1293173133132984,1.8660579365836252,30,800,5
84,84,-0.0119436515096119,6.545498984764162,0.070539215278722,0.2737676828139409,0.0143043210740218,1.993876081791731,30,800,5
85,85,-0.0550210433500143,4.535001376138518,-0.3972874511636513,0.2632538975995337,0.0252624568562303,1.827770070335214,30,800,5
86,86,-0.0301121373935255,6.2241877168307305,0.0451239582183236,0.2447237453228488,0.0044150081308578,1.9578732593903567,30,800,5
87,87,-0.0054820756074589,6.020589928149722,-0.1046356316014001,0.2532722650791024,-0.0366369407062264,1.8875166926248848,30,800,5
88,88,0.0391073104158822,5.158743410458968,0.2481840814146707,0.2812546828045501,0.0572443859119419,1.8845507396674523,30,800,5
89,89,0.1352149489772628,4.983627001805741,-0.0177665972183067,0.2417950264192445,0.0904952865042218,1.9763041887801536,30,800,5
90,90,-0.0734947427602225,6.681500620715096,-0.1054346499987826,0.2649809106080456,-0.0461190167726033,1.920932305929792,30,800,5
91,91,0.083776925487398,5.648132467424959,-0.1051874705386701,0.2676112142239232,0.0694570152414549,2.112343090996888,30,800,5
92,92,0.0020110464900268,6.671314209581212,-0.1463153470525666,0.2446644215314625,-0.0302339761524224,2.0869762889514107,30,800,5
93,93,0.0240030680843071,5.3913872310238125,0.0470918360052072,0.2894668387441355,-0.0243301945121223,1.923122979165944,30,800,5
94,94,-0.0284692420598275,6.6618385702647664,0.0131173181674455,0.2606560920877654,-0.0377458802579553,2.065654681400883,30,800,5
95,95,-0.0221832401670774,4.440987096163659,0.6511972819315326,0.2812603550557381,0.0281152529346579,1.86309963833924,30,800,5
96,96,0.0608815550469371,6.342826322437463,0.0371662753540995,0.2464403308243487,-0.0283477934304128,1.9861918927638456,30,800,5
97,97,-0.0291663098650613,6.499391093816577,0.0257481724648416,0.2617866310622151,-0.0107265144374489,2.0282774910472656,30,800,5
98,98,0.0187239939945963,4.483632958238485,0.1728539771400159,0.2789335234662825,0.0789960825507175,2.0309252601979533,30,800,5
99,99,-0.0229117937476512,5.633875247352389,0.3270422201936198,0.2309975442330237,-0.022486610309989,2.079284478942947,30,800,5
